SIMAN Run Controller.

360.0 Hours>
                                      ARENA Simulation Results
                                               tt_sina

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date : 7/11/2021
Analyst: tt_sina                                                     Model revision date: 7/11/2021

Replication ended at time      : 360.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hold 17.Queue.NumberInQueue                 4.2916     (Insuf)    .00000     15.000     .00000    
Hold 31.Queue.NumberInQueue                 22.859     (Insuf)    .00000     52.000     .00000    
Hold 41.Queue.NumberInQueue                 4.1344     (Insuf)    .00000     35.000     .00000    
Hold 21.Queue.NumberInQueue                 2.2444     (Insuf)    .00000     8.0000     .00000    
Hold 11.Queue.NumberInQueue                 3.7333     (Insuf)    .00000     28.000     .00000    
Hold 40.Queue.NumberInQueue                 7.1555     (Insuf)    .00000     23.000     23.000    
Hold 30.Queue.NumberInQueue                 7.8131     (Insuf)    .00000     28.000     .00000    
Hold 20.Queue.NumberInQueue                 12.855     (Insuf)    .00000     43.000     .00000    
Hold 10.Queue.NumberInQueue                 9.0148     (Insuf)    .00000     32.000     .00000    

                                             COUNTERS

Identifier                                    Count   Limit
_____________________________________________________________

Counter 3                                         0  Infinite
Counter 2                                         0  Infinite
Counter 1                                         0  Infinite
Counter 7                                         2  Infinite
Counter 6                                         1  Infinite
Counter 5                                        13  Infinite
Counter 4                                         0  Infinite
Counter 8                                         0  Infinite

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           .00000    
Entity 1.NumberOut                          .00000    
RQW41.NumberIn                              15.000    
RQW41.NumberOut                             15.000    
RQTotalDailyDC1.NumberIn                    14.000    
RQTotalDailyDC1.NumberOut                   14.000    
RQTotalDailyDC2.NumberIn                    14.000    
RQTotalDailyDC2.NumberOut                   14.000    
RQTotalDailyDC3.NumberIn                    14.000    
RQTotalDailyDC3.NumberOut                   14.000    
RQTotalDailyDC4.NumberIn                    14.000    
RQTotalDailyDC4.NumberOut                   14.000    
RQW22.NumberIn                              15.000    
RQW22.NumberOut                             15.000    
RQW21.NumberIn                              15.000    
RQW21.NumberOut                             15.000    
CHIQ2.NumberIn                              14.000    
CHIQ2.NumberOut                             14.000    
CHIQ3.NumberIn                              14.000    
CHIQ3.NumberOut                             14.000    
CHIQ1.NumberIn                              14.000    
CHIQ1.NumberOut                             14.000    
CHIQ4.NumberIn                              14.000    
CHIQ4.NumberOut                             14.000    
SS Week DC4.NumberIn                        2.0000    
SS Week DC4.NumberOut                       2.0000    
SS Week DC1.NumberIn                        2.0000    
SS Week DC1.NumberOut                       2.0000    
SS Week DC2.NumberIn                        2.0000    
SS Week DC2.NumberOut                       2.0000    
SS Week DC3.NumberIn                        2.0000    
SS Week DC3.NumberOut                       2.0000    
CHIQ_PDC_ND.NumberIn                        2.0000    
CHIQ_PDC_ND.NumberOut                       2.0000    
